D4420;D4433;4U27;4U32;L4115;D4428
1092.39;1975.26;6.07;14.73;1.54;1191.19
1087.76;1989.76;6.07;14.67;1.53;1194.55
1088.82;1998.01;6.06;14.68;1.54;1194.23
1084.55;2000.11;6.07;14.86;1.53;1194.36
1088.96;1964.34;6.07;14.69;1.53;1190.19
1087.24;1927.99;6.07;14.67;1.53;1191.31
1077.58;1914.31;6.08;14.69;1.53;1194.14
1086.89;1896.17;6.08;14.68;1.54;1196.65
1098.99;1911.15;6.06;14.69;1.53;1192.89
1104;1906.04;6.06;14.63;1.53;1184.08
1094.46;1908.85;6.08;14.71;1.53;1186.72
1087.84;1967.34;6.08;17.13;1.54;1188
1092.85;1994.52;6.07;17.72;1.54;1192.31
1098.84;2018.15;6.2;17.07;1.55;1191.82
1106.18;2017.6;6.83;15.68;1.54;1188.08
1096.19;2042.99;8.8;12.97;1.54;1191.49
1095.86;2054.23;10.58;12.22;1.54;1197.19
1112.83;2051.13;12.39;14.46;1.53;1202.45
1108.7;2020.03;12.75;14.23;1.53;1205.2
1099.55;2006.26;13.03;12.48;1.54;1209.34
1095.21;1979.07;13.1;12.49;1.53;1204.99
1090.93;1941.45;13.07;12.48;1.52;1206.6
1090.9;1917.44;13.08;13.2;1.53;1203.03
1094.28;1888.5;13.08;14.91;1.54;1197.49
1090.89;1882.24;13.07;14.87;1.54;1195.49
1094.01;1866.33;13.06;14.86;1.53;1192.18
1089.59;1833.58;11.3;12.94;1.53;1191.38
1087.41;1846.52;9.33;13.47;1.53;1190.27
1087.77;1861.83;8.2;15.74;1.53;1188.15
1082.55;1898.97;7.91;15.7;1.54;1189.24
1087.2;1910.36;7.92;15.7;1.54;1190.13
1089.73;1880.91;7.2;15.74;1.53;1186.56
1084.7;1894.76;6.22;15.74;1.53;1188.93
1094.59;1943.66;6.01;16.86;1.53;1185.99
1097.38;1962.83;6.01;19.41;1.53;1187.14
1102.16;1975.54;6.01;17.77;1.53;1190.25
1102.3;1990.08;6;16.35;1.53;1189.1
1100.61;2018.73;6.01;14.12;1.53;1186.15
1095.17;2006.85;6;14.08;1.55;1186.73
1092.21;1982.76;5.99;14.23;1.55;1195.44
1081.83;1962.88;5.99;16.67;1.54;1199.59
1081.3;1962.05;6;16.4;1.53;1192.9
1075.29;1942.92;6;14.47;1.53;1192.38
1074.57;1897.92;6.01;14.46;1.53;1191.54
1075.41;1850.09;5.83;14.45;1.53;1187.3
1072.01;1844.91;4.96;14.5;1.52;1188.71
1085.15;1851.67;3.66;16.27;1.53;1185.73
1090.86;1869.29;2.46;17.56;1.53;1182.55
1086.92;1896.66;2.27;18.32;1.53;1173.25
1096.27;1941.87;2.22;19.23;1.54;1170.49
1097.45;1971.22;2.21;20.4;1.53;1170.38
1097.58;1993.74;2.22;18.51;1.53;1172.65
1095.54;2012.01;2.21;18.71;1.56;1181.2
1094.05;2022.57;2.21;17.62;1.55;1189.2
1094.21;2035.23;2.9;15.4;1.54;1193.44
1088.28;2034.41;4.22;15.34;1.53;1193.77
1085.91;2024.33;4.51;15.37;1.54;1195.72
1086.49;2010.9;5.27;15.4;1.53;1195.68
1082.37;1997.37;5.46;15.37;1.53;1197.21
1077.01;1987.93;5.46;13.1;1.53;1198.17
1082.89;1979.04;5.46;14.17;1.52;1197.66
1096.65;1970.6;5.46;14.19;1.52;1191.93
1093.9;1960.89;5.46;14.32;1.53;1191.92
1089.85;1948.68;5.45;14.4;1.53;1190.08
1093.59;1949.95;5.47;14.24;1.54;1191.16
1092.83;1956.24;5.47;14.22;1.53;1194.09
1092.63;1963.24;5.47;13.56;1.53;1196.51
1090.35;1975.44;5.46;12.06;1.53;1198.82
1089.69;1985.44;6.14;14.5;1.53;1196.88
1094.14;1985.41;6.31;15.27;1.53;1197.54
1098.1;1969.18;6.32;15.11;1.53;1195.2
1096.24;1957.93;6.32;14.46;1.53;1203.46
1088.2;1970.36;6.31;12.83;1.54;1200.89
1091.57;1954.74;6.31;12.79;1.54;1196.07
1083.66;1922.17;6.32;14.71;1.54;1192.45
1086.48;1926.71;6.31;15.26;1.55;1189.05
1094.19;1920.45;6.33;15.27;1.54;1188.61
1089.15;1909.81;6.35;15.28;1.53;1190.56
1084.57;1919.4;6.35;15.29;1.53;1190.63
1090.81;1906.98;6.34;15.25;1.53;1187.17
1083.75;1906.3;6.35;15.25;1.53;1187.6
1072.17;1922.14;6.34;15.2;1.53;1184.1
1078.05;1923.5;6.34;15.27;1.54;1186.07
1075.53;1948.56;6.34;15.24;1.53;1185.46
1073.58;1956.87;6.34;13.03;1.53;1190.98
1073.9;1935.1;6.34;13.36;1.53;1188.81
1077.92;1927.68;6.34;15.97;1.53;1187.9
1093.01;1915.54;6.34;18.54;1.53;1190.06
1105.16;1905.42;6.35;18.44;1.53;1188.17
1105.08;1940.14;6.34;15.94;1.54;1189.81
1104.48;1968.94;6.34;15.35;1.54;1187.4
1099.51;1988.51;6.34;15.37;1.54;1187.91
1097.07;2005.53;6.34;15.35;1.53;1191.17
1096.24;2023.31;7.2;15.42;1.53;1198.84
